2023-08-15-16:38:36.316034 Motor1@0.0 Motor2@-1.291 ImgX@267 ImgY@140 F@1040.0 Strain@0.0928
2023-08-15-16:38:36.380018 Motor1@0.0 Motor2@-1.290 ImgX@267 ImgY@139 F@1040.0 Strain@0.0927
2023-08-15-16:38:36.443010 Motor1@0.0 Motor2@-1.290 ImgX@267 ImgY@138 F@1040.0 Strain@0.0927
2023-08-15-16:38:36.503533 Motor1@0.0 Motor2@-1.290 ImgX@267 ImgY@139 F@1040.0 Strain@0.0927
2023-08-15-16:38:36.568187 Motor1@0.0 Motor2@-1.290 ImgX@267 ImgY@140 F@1040.0 Strain@0.0927
2023-08-15-16:38:36.628700 Motor1@0.0 Motor2@-1.290 ImgX@268 ImgY@140 F@1020.0 Strain@0.0932
2023-08-15-16:38:36.691195 Motor1@0.0 Motor2@-1.290 ImgX@267 ImgY@140 F@1040.0 Strain@0.0927
2023-08-15-16:38:36.755180 Motor1@0.0 Motor2@-1.290 ImgX@267 ImgY@139 F@1040.0 Strain@0.0927
2023-08-15-16:38:36.818172 Motor1@0.0 Motor2@-1.289 ImgX@268 ImgY@140 F@1020.0 Strain@0.09309999999999999
2023-08-15-16:38:36.879677 Motor1@0.0 Motor2@-1.289 ImgX@268 ImgY@140 F@1020.0 Strain@0.09309999999999999
2023-08-15-16:38:36.941676 Motor1@0.0 Motor2@-1.289 ImgX@268 ImgY@140 F@1020.0 Strain@0.09309999999999999
2023-08-15-16:38:37.005162 Motor1@0.0 Motor2@-1.289 ImgX@268 ImgY@139 F@1020.0 Strain@0.09309999999999999
2023-08-15-16:38:37.066170 Motor1@0.0 Motor2@-1.289 ImgX@268 ImgY@140 F@1020.0 Strain@0.09309999999999999
2023-08-15-16:38:37.130697 Motor1@0.0 Motor2@-1.289 ImgX@268 ImgY@140 F@1020.0 Strain@0.09309999999999999
2023-08-15-16:38:37.193724 Motor1@0.0 Motor2@-1.289 ImgX@268 ImgY@140 F@1020.0 Strain@0.09309999999999999
2023-08-15-16:38:37.253243 Motor1@0.0 Motor2@-1.289 ImgX@268 ImgY@140 F@1020.0 Strain@0.09309999999999999
2023-08-15-16:38:37.317227 Motor1@0.0 Motor2@-1.289 ImgX@268 ImgY@139 F@1020.0 Strain@0.09309999999999999
2023-08-15-16:38:37.379723 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:37.441723 Motor1@0.0 Motor2@-1.288 ImgX@267 ImgY@140 F@1040.0 Strain@0.0925
2023-08-15-16:38:37.503723 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:37.567746 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:37.629250 Motor1@0.0 Motor2@-1.288 ImgX@267 ImgY@140 F@1040.0 Strain@0.0925
2023-08-15-16:38:37.691747 Motor1@0.0 Motor2@-1.288 ImgX@266 ImgY@140 F@1060.0 Strain@0.092
2023-08-15-16:38:37.753250 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:37.816242 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:37.880272 Motor1@0.0 Motor2@-1.288 ImgX@267 ImgY@139 F@1040.0 Strain@0.0925
2023-08-15-16:38:37.941776 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:38.002933 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:38.068405 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:38.130155 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:38.190667 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:38.254653 Motor1@0.0 Motor2@-1.288 ImgX@267 ImgY@140 F@1040.0 Strain@0.0925
2023-08-15-16:38:38.318140 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@141 F@1020.0 Strain@0.093
2023-08-15-16:38:38.378160 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:38.443422 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:38.505421 Motor1@0.0 Motor2@-1.288 ImgX@267 ImgY@140 F@1040.0 Strain@0.0925
2023-08-15-16:38:38.564988 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:38.630955 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:38.692459 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:38.754414 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:38.817182 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:38.879679 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:38.940191 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:39.005664 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:39.069151 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@138 F@1000.0 Strain@0.0935
2023-08-15-16:38:39.129167 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:39.193153 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:39.256143 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:39.317151 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:39.380639 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:39.444623 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:39.503151 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:39.566639 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:39.630127 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:39.690144 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:39.756607 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:39.817615 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:39.879119 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:39.943103 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:40.006096 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:40.065484 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:40.130459 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:40.190971 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:40.253963 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:40.317947 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:40.381937 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:40.507421 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:40.570419 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:40.630429 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:40.693922 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:40.755919 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:40.815436 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:40.878428 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:40.943417 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:41.003420 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:41.067900 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:41.129349 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:41.191861 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:41.253399 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:41.319368 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:41.378887 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:41.443440 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:41.502960 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@141 F@1020.0 Strain@0.093
2023-08-15-16:38:41.565953 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:41.629448 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:41.692439 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:41.754438 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:41.817430 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:41.880422 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:41.940935 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:42.004918 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:42.068406 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:42.129414 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@141 F@1000.0 Strain@0.0935
2023-08-15-16:38:42.190918 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:42.255403 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:42.315911 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:42.379895 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:42.441895 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:42.503894 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:42.568375 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:42.630375 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:42.691879 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:42.754870 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@141 F@1000.0 Strain@0.0935
2023-08-15-16:38:42.816873 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:42.877879 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:42.942360 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:43.004856 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:43.065863 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.128365 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.193571 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.256066 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:43.318563 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.380067 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:43.441076 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.504067 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.567691 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.628699 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.693179 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:43.756171 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.815692 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.880172 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:43.943660 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
