0.0129 Motor1@0.0 Motor2@0.548 ImgX@393 ImgY@305 F@0.0 Strain@0.0346
0.0456 Motor1@0.0 Motor2@0.546 ImgX@391 ImgY@304 F@120.0 Strain@0.0338
0.0749 Motor1@0.0 Motor2@0.540 ImgX@391 ImgY@304 F@120.0 Strain@0.0344
0.1061 Motor1@0.0 Motor2@0.535 ImgX@389 ImgY@304 F@240.0 Strain@0.0339
0.1384 Motor1@0.0 Motor2@0.532 ImgX@389 ImgY@304 F@240.0 Strain@0.034199999999999994
0.1676 Motor1@0.0 Motor2@0.528 ImgX@388 ImgY@303 F@300.0 Strain@0.0341
0.2004 Motor1@0.0 Motor2@0.524 ImgX@388 ImgY@303 F@300.0 Strain@0.034499999999999996
0.2331 Motor1@0.0 Motor2@0.523 ImgX@388 ImgY@304 F@300.0 Strain@0.0346
0.2624 Motor1@0.0 Motor2@0.521 ImgX@388 ImgY@304 F@300.0 Strain@0.0348
0.2951 Motor1@0.0 Motor2@0.516 ImgX@389 ImgY@304 F@240.0 Strain@0.0358
0.3239 Motor1@0.0 Motor2@0.514 ImgX@389 ImgY@304 F@240.0 Strain@0.036
0.3556 Motor1@0.0 Motor2@0.510 ImgX@389 ImgY@304 F@240.0 Strain@0.0364
0.3889 Motor1@0.0 Motor2@0.508 ImgX@389 ImgY@304 F@240.0 Strain@0.0366
0.4196 Motor1@0.0 Motor2@0.505 ImgX@388 ImgY@305 F@300.0 Strain@0.0364
0.4499 Motor1@0.0 Motor2@0.502 ImgX@388 ImgY@305 F@300.0 Strain@0.036699999999999997
0.4826 Motor1@0.0 Motor2@0.499 ImgX@387 ImgY@304 F@360.0 Strain@0.0365
0.5133 Motor1@0.0 Motor2@0.497 ImgX@387 ImgY@304 F@360.0 Strain@0.036699999999999997
0.5446 Motor1@0.0 Motor2@0.493 ImgX@385 ImgY@303 F@480.0 Strain@0.03610000000000001
0.5739 Motor1@0.0 Motor2@0.489 ImgX@385 ImgY@303 F@480.0 Strain@0.036500000000000005
0.6051 Motor1@0.0 Motor2@0.486 ImgX@387 ImgY@304 F@360.0 Strain@0.0378
0.6383 Motor1@0.0 Motor2@0.478 ImgX@387 ImgY@304 F@360.0 Strain@0.0386
0.6701 Motor1@0.0 Motor2@0.478 ImgX@385 ImgY@304 F@480.0 Strain@0.03760000000000001
0.7003 Motor1@0.0 Motor2@0.472 ImgX@385 ImgY@304 F@480.0 Strain@0.038200000000000005
0.7306 Motor1@0.0 Motor2@0.471 ImgX@386 ImgY@304 F@420.0 Strain@0.0388
0.7618 Motor1@0.0 Motor2@0.469 ImgX@386 ImgY@304 F@420.0 Strain@0.039
0.7951 Motor1@0.0 Motor2@0.466 ImgX@386 ImgY@304 F@420.0 Strain@0.0393
0.8238 Motor1@0.0 Motor2@0.462 ImgX@386 ImgY@304 F@420.0 Strain@0.0397
0.8581 Motor1@0.0 Motor2@0.459 ImgX@385 ImgY@305 F@480.0 Strain@0.0395
0.8878 Motor1@0.0 Motor2@0.457 ImgX@385 ImgY@305 F@480.0 Strain@0.0397
0.9196 Motor1@0.0 Motor2@0.454 ImgX@384 ImgY@304 F@540.0 Strain@0.0395
0.9498 Motor1@0.0 Motor2@0.453 ImgX@384 ImgY@304 F@540.0 Strain@0.0396
0.9841 Motor1@0.0 Motor2@0.449 ImgX@384 ImgY@305 F@540.0 Strain@0.04
1.0128 Motor1@0.0 Motor2@0.445 ImgX@384 ImgY@305 F@540.0 Strain@0.040400000000000005
1.0456 Motor1@0.0 Motor2@0.442 ImgX@383 ImgY@305 F@600.0 Strain@0.0402
1.0743 Motor1@0.0 Motor2@0.438 ImgX@383 ImgY@305 F@600.0 Strain@0.040600000000000004
1.1061 Motor1@0.0 Motor2@0.436 ImgX@383 ImgY@304 F@600.0 Strain@0.0408
1.1398 Motor1@0.0 Motor2@0.432 ImgX@383 ImgY@304 F@600.0 Strain@0.0412
1.1710 Motor1@0.0 Motor2@0.430 ImgX@382 ImgY@304 F@660.0 Strain@0.040900000000000006
1.1998 Motor1@0.0 Motor2@0.427 ImgX@382 ImgY@304 F@660.0 Strain@0.0412
